# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.019992   0.002995   0.281799
0.039984   0.011267   0.499236
0.059976   0.022956   0.611305
0.079968   0.035710   0.610807
0.099960   0.047379   0.519924
0.119952   0.056499   0.377301
0.139944   0.062465   0.223765
0.159936   0.065446   0.091278
0.179928   0.066115   -0.002901
0.199920   0.065330   -0.056724
0.219912   0.063847   -0.079537
0.239904   0.062149   -0.085659
0.259896   0.060422   -0.087701
0.279888   0.058643   -0.092068
0.299880   0.056740   -0.098006
0.319872   0.054724   -0.099943
0.339864   0.052744   -0.091630
0.359856   0.051060   -0.070091
0.379848   0.049942   -0.037746
0.399840   0.049551   -0.002020
0.419832   0.049861   0.027257
0.439824   0.050641   0.041413
0.459816   0.051517   0.035954
0.479808   0.052078   0.012015
0.499800   0.051997   -0.024083
0.519792   0.051116   -0.062892
0.539784   0.049483   -0.094742
0.559776   0.047327   -0.112412
0.579768   0.044988   -0.112782
0.599760   0.042818   -0.097137
0.619752   0.041104   -0.070175
0.639744   0.040012   -0.038123
0.659736   0.039580   -0.006642
0.679728   0.039746   0.020714
0.699720   0.040408   0.042964
0.719712   0.041464   0.061096
0.739704   0.042851   0.076804
0.759696   0.044535   0.091180
0.779688   0.046496   0.103868
0.799680   0.048688   0.112975
0.819672   0.051014   0.115681
0.839664   0.053314   0.109255
0.859656   0.055382   0.092075
0.879648   0.056995   0.064374
0.899640   0.057956   0.028533
0.919632   0.058136   -0.011160
0.939624   0.057510   -0.049260
0.959616   0.056167   -0.080243
0.979608   0.054301   -0.099643
0.999600   0.052182   -0.104967
1.019592   0.050104   -0.096229
1.039584   0.048335   -0.075944
1.059576   0.047068   -0.048527
1.079568   0.046394   -0.019258
1.099560   0.046298   0.006889
1.119552   0.046670   0.026241
1.139544   0.047347   0.036977
1.159536   0.048148   0.039165
1.179528   0.048913   0.034358
1.199520   0.049522   0.024972
1.219512   0.049911   0.013604
1.239504   0.050066   0.002449
1.259496   0.050009   -0.007042
1.279488   0.049785   -0.014206
1.299480   0.049441   -0.018958
1.319472   0.049027   -0.021515
1.339464   0.048581   -0.022160
1.359456   0.048140   -0.021116
1.379448   0.047737   -0.018557
1.399440   0.047398   -0.014670
1.419432   0.047150   -0.009694
1.439424   0.047011   -0.003948
1.459416   0.046992   0.002143
1.479408   0.047097   0.008054
1.499400   0.047314   0.013227
1.519392   0.047625   0.017166
1.539384   0.048001   0.019571
1.559376   0.048408   0.020453
1.579368   0.048819   0.020153
1.599360   0.049214   0.019223
1.619352   0.049587   0.018241
1.639344   0.049943   0.017653
1.659336   0.050293   0.017651
1.679328   0.050649   0.018080
1.699320   0.051016   0.018424
1.719312   0.051386   0.017902
1.739304   0.051732   0.015697
1.759296   0.052013   0.011272
1.779288   0.052182   0.004618
1.799280   0.052198   -0.003695
1.819272   0.052035   -0.012622
1.839264   0.051693   -0.020874
1.859256   0.051200   -0.027236
1.879248   0.050604   -0.030867
1.899240   0.049966   -0.031500
1.919232   0.049345   -0.029423
1.939224   0.048789   -0.025323
1.959216   0.048332   -0.020065
1.979208   0.047987   -0.014495
1.999200   0.047753   -0.009314
2.019192   0.047615   -0.005022
2.039184   0.047552   -0.001930
2.059176   0.047537   -0.000170
2.079168   0.047545   0.000315
2.099160   0.047550   -0.000220
2.119152   0.047536   -0.001341
2.139144   0.047496   -0.002432
2.159136   0.047439   -0.002731
2.179128   0.047387   -0.001462
2.199120   0.047380   0.001918
2.219112   0.047464   0.007452
2.239104   0.047678   0.014575
2.259096   0.048047   0.022216
2.279088   0.048567   0.029061
2.299080   0.049209   0.033837
2.319072   0.049920   0.035561
2.339064   0.050631   0.033748
2.359056   0.051269   0.028550
2.379048   0.051772   0.020720
2.399040   0.052097   0.011396
2.419032   0.052228   0.001817
2.439024   0.052170   -0.006954
2.459016   0.051950   -0.014203
2.479008   0.051602   -0.019562
2.499000   0.051168   -0.022927
2.518992   0.050685   -0.024382
2.538984   0.050193   -0.024166
2.558976   0.049719   -0.022660
2.578968   0.049287   -0.020320
2.598960   0.048907   -0.017547
2.618952   0.048585   -0.014598
2.638944   0.048323   -0.011624
2.658936   0.048120   -0.008727
2.678928   0.047974   -0.005953
2.698920   0.047882   -0.003270
2.718912   0.047843   -0.000623
2.738904   0.047857   0.001967
2.758896   0.047922   0.004348
2.778888   0.048031   0.006264
2.798880   0.048172   0.007478
2.818872   0.048330   0.007899
2.838864   0.048488   0.007640
2.858856   0.048636   0.006970
2.878848   0.048767   0.006225
2.898840   0.048884   0.005715
2.918832   0.048996   0.005678
2.938824   0.049111   0.006239
2.958816   0.049245   0.007396
2.978808   0.049407   0.008974
2.998800   0.049604   0.010615
3.018792   0.049832   0.011817
3.038784   0.050076   0.012069
3.058776   0.050314   0.011024
3.078768   0.050517   0.008631
3.098760   0.050659   0.005153
3.118752   0.050723   0.001094
3.138744   0.050703   -0.002942
3.158736   0.050605   -0.006440
3.178728   0.050446   -0.009073
3.198720   0.050243   -0.010743
3.218712   0.050016   -0.011505
3.238704   0.049783   -0.011466
3.258696   0.049558   -0.010769
3.278688   0.049352   -0.009580
3.298680   0.049175   -0.008082
3.318672   0.049029   -0.006512
3.338664   0.048914   -0.005170
3.358656   0.048822   -0.004322
3.378648   0.048741   -0.004103
3.398640   0.048658   -0.004477
3.418632   0.048562   -0.005212
3.438624   0.048450   -0.005920
3.458616   0.048326   -0.006148
3.478608   0.048204   -0.005491
3.498600   0.048106   -0.003713
3.518592   0.048056   -0.000840
3.538584   0.048072   0.002818
3.558576   0.048168   0.006757
3.578568   0.048343   0.010433
3.598560   0.048585   0.013395
3.618552   0.048878   0.015344
3.638544   0.049199   0.016152
3.658536   0.049524   0.015853
3.678528   0.049833   0.014596
3.698520   0.050108   0.012576
3.718512   0.050336   0.009998
3.738504   0.050507   0.007060
3.758496   0.050618   0.003923
3.778488   0.050664   0.000702
3.798480   0.050646   -0.002480
3.818472   0.050565   -0.005427
3.838464   0.050429   -0.007869
3.858456   0.050251   -0.009523
3.878448   0.050048   -0.010199
3.898440   0.049843   -0.009855
3.918432   0.049654   -0.008612
3.938424   0.049498   -0.006781
3.958416   0.049383   -0.004834
3.978408   0.049305   -0.003316
3.998400   0.049250   -0.002697
4.018392   0.049197   -0.003228
4.038384   0.049121   -0.004804
4.058376   0.049005   -0.006933
4.078368   0.048844   -0.008914
4.098360   0.048649   -0.010095
4.118352   0.048441   -0.010017
4.138344   0.048248   -0.008483
4.158336   0.048101   -0.005609
4.178328   0.048024   -0.001827
4.198320   0.048028   0.002248
4.218312   0.048114   0.006038
4.238304   0.048270   0.009145
4.258296   0.048479   0.011401
4.278288   0.048726   0.012852
4.298280   0.048993   0.013657
4.318272   0.049272   0.013982
4.338264   0.049552   0.013937
4.358256   0.049829   0.013531
4.378248   0.050093   0.012680
4.398240   0.050336   0.011274
4.418232   0.050544   0.009251
4.438224   0.050706   0.006605
4.458216   0.050808   0.003371
4.478208   0.050841   -0.000368
4.498200   0.050794   -0.004460
4.518192   0.050662   -0.008639
4.538184   0.050448   -0.012476
4.558176   0.050163   -0.015442
4.578168   0.049831   -0.017060
4.598160   0.049481   -0.017056
4.618152   0.049149   -0.015449
4.638144   0.048864   -0.012534
4.658136   0.048648   -0.008777
4.678128   0.048513   -0.004738
4.698120   0.048458   -0.001006
4.718112   0.048472   0.001897
4.738104   0.048534   0.003625
4.758096   0.048617   0.004064
4.778088   0.048697   0.003304
4.798080   0.048749   0.001601
4.818072   0.048760   -0.000623
4.838064   0.048724   -0.002799
4.858056   0.048649   -0.004324
4.878048   0.048552   -0.004674
4.898040   0.048462   -0.003505
4.918032   0.048411   -0.000745
4.938024   0.048432   0.003355
4.958016   0.048546   0.008213
4.978008   0.048760   0.010740
