# Time   VAF(t)
0.000000  7.605517
0.019992  6.688475
0.039984  4.300796
0.059976  1.296049
0.079968  -1.435389
0.099960  -3.286130
0.119952  -4.035162
0.139944  -3.800956
0.159936  -2.920696
0.179928  -1.809707
0.199920  -0.833151
0.219912  -0.211072
0.239904  0.021477
0.259896  -0.013348
0.279888  -0.117733
0.299880  -0.116832
0.319872  0.067257
0.339864  0.393289
0.359856  0.732387
0.379848  0.933162
0.399840  0.890192
0.419832  0.587997
0.439824  0.105129
0.459816  -0.418611
0.479808  -0.833653
0.499800  -1.029404
0.519792  -0.965083
0.539784  -0.675662
0.559776  -0.254004
0.579768  0.182748
0.599760  0.530703
0.619752  0.729052
0.639744  0.773258
0.659736  0.707341
0.679728  0.598692
0.699720  0.506979
0.719712  0.460792
0.739704  0.450463
0.759696  0.437760
0.779688  0.376457
0.799680  0.233838
0.819672  0.004598
0.839664  -0.286385
0.859656  -0.591093
0.879648  -0.851509
0.899640  -1.014347
0.919632  -1.043325
0.939624  -0.926847
0.959616  -0.680452
0.979608  -0.344216
0.999600  0.024305
1.019592  0.361129
1.039584  0.609957
1.059576  0.735359
1.079568  0.729860
1.099560  0.612707
1.119552  0.421835
1.139544  0.202709
1.159536  -0.002242
1.179528  -0.161446
1.199520  -0.258837
1.219512  -0.294642
1.239504  -0.281997
1.259496  -0.240167
1.279488  -0.186585
1.299480  -0.131583
1.319472  -0.078166
1.339464  -0.025380
1.359456  0.027714
1.379448  0.079884
1.399440  0.127891
1.419432  0.167437
1.439424  0.193969
1.459416  0.203162
1.479408  0.191787
1.499400  0.159373
1.519392  0.109693
1.539384  0.050721
1.559376  -0.007138
1.579368  -0.053552
1.599360  -0.080734
1.619352  -0.085745
1.639344  -0.071988
1.659336  -0.048669
1.679328  -0.027816
1.699320  -0.020198
1.719312  -0.031850
1.739304  -0.062156
1.759296  -0.104016
1.779288  -0.145807
1.799280  -0.174272
1.819272  -0.178166
1.839264  -0.152213
1.859256  -0.099559
1.879248  -0.031111
1.899240  0.038258
1.919232  0.094723
1.939224  0.129308
1.959216  0.139343
1.979208  0.127629
1.999200  0.100197
2.019192  0.064058
2.039184  0.025794
2.059176  -0.008892
2.079168  -0.035076
2.099160  -0.048315
2.119152  -0.044728
2.139144  -0.021974
2.159136  0.019460
2.179128  0.074908
2.199120  0.134597
2.219112  0.184854
2.239104  0.211956
2.259096  0.206247
2.279088  0.164323
2.299080  0.089552
2.319072  -0.008129
2.339064  -0.112919
2.359056  -0.205541
2.379048  -0.268056
2.399040  -0.289439
2.419032  -0.268868
2.439024  -0.215018
2.459016  -0.141952
2.479008  -0.064297
2.499000  0.005598
2.518992  0.058203
2.538984  0.087316
2.558976  0.091711
2.578968  0.076656
2.598960  0.052852
2.618952  0.031999
2.638944  0.021588
2.658936  0.022989
2.678928  0.033217
2.698920  0.047432
2.718912  0.060337
2.738904  0.067086
2.758896  0.064665
2.778888  0.053409
2.798880  0.037156
2.818872  0.021440
2.838864  0.010432
2.858856  0.004955
2.878848  0.003083
2.898840  0.002304
2.918832  0.001325
2.938824  0.000115
2.958816  -0.001256
2.978808  -0.003635
2.998800  -0.009058
3.018792  -0.019992
3.038784  -0.037325
3.058776  -0.058490
3.078768  -0.077718
3.098760  -0.088476
3.118752  -0.086237
3.138744  -0.070120
3.158736  -0.042921
3.178728  -0.009907
3.198720  0.022696
3.218712  0.048982
3.238704  0.064403
3.258696  0.066676
3.278688  0.056069
3.298680  0.035091
3.318672  0.008169
3.338664  -0.018687
3.358656  -0.039176
3.378648  -0.048892
3.398640  -0.046622
3.418632  -0.033676
3.438624  -0.012434
3.458616  0.014353
3.478608  0.043059
3.498600  0.068762
3.518592  0.086384
3.538584  0.092759
3.558576  0.087670
3.578568  0.073071
3.598560  0.051745
3.618552  0.026541
3.638544  -0.000015
3.658536  -0.025764
3.678528  -0.048791
3.698520  -0.067464
3.718512  -0.080660
3.738504  -0.087896
3.758496  -0.088905
3.778488  -0.083059
3.798480  -0.069600
3.818472  -0.048618
3.838464  -0.021819
3.858456  0.007547
3.878448  0.035190
3.898440  0.056603
3.918432  0.067975
3.938424  0.066677
3.958416  0.051478
3.978408  0.023409
3.998400  -0.012772
4.018392  -0.048260
4.038384  -0.072499
4.058376  -0.077196
4.078368  -0.059802
4.098360  -0.024674
4.118352  0.018490
4.138344  0.057943
4.158336  0.083766
4.178328  0.090931
4.198320  0.080642
4.218312  0.059495
4.238304  0.036606
4.258296  0.019926
4.278288  0.013364
4.298280  0.015959
4.318272  0.022949
4.338264  0.027867
4.358256  0.024917
4.378248  0.011119
4.398240  -0.012746
4.418232  -0.042911
4.438224  -0.074258
4.458216  -0.101915
4.478208  -0.121916
4.498200  -0.130729
4.518192  -0.124854
4.538184  -0.101882
4.558176  -0.062814
4.578168  -0.013432
4.598160  0.037078
4.618152  0.079306
4.638144  0.106414
4.658136  0.115474
4.678128  0.107329
4.698120  0.085974
4.718112  0.057556
4.738104  0.028219
4.758096  0.001639
4.778088  -0.021211
4.798080  -0.039844
4.818072  -0.052579
4.838064  -0.056645
4.858056  -0.049168
4.878048  -0.028255
4.898040  0.005580
4.918032  0.048051
4.938024  0.090851
4.958016  0.123096
4.978008  0.134227
4.998000  0.117318
5.017992  0.071721
5.037984  0.004232
5.057976  -0.071740
5.077968  -0.139343
5.097960  -0.183162
5.117952  -0.193612
5.137944  -0.169483
5.157936  -0.118426
5.177928  -0.054644
5.197920  0.005957
5.217912  0.050777
5.237904  0.073394
5.257896  0.074127
5.277888  0.058976
5.297880  0.037341
5.317872  0.019042
5.337864  0.011383
5.357856  0.016966
5.377848  0.033081
5.397840  0.053281
5.417832  0.070063
5.437824  0.077094
5.457816  0.070342
5.477808  0.048662
5.497800  0.014323
5.517792  -0.026358
5.537784  -0.063546
5.557776  -0.087145
5.577768  -0.091469
5.597760  -0.077446
5.617752  -0.050688
5.637744  -0.018135
5.657736  0.014066
5.677728  0.041321
5.697720  0.060928
5.717712  0.071863
5.737704  0.073561
5.757696  0.064819
5.777688  0.044426
5.797680  0.012820
5.817672  -0.026836
5.837664  -0.068642
5.857656  -0.104637
5.877648  -0.126422
5.897640  -0.128141
5.917632  -0.109303
5.937624  -0.075040
5.957616  -0.033423
5.977608  0.007894
5.997600  0.043871
6.017592  0.072368
6.037584  0.092818
6.057576  0.104935
6.077568  0.108247
6.097560  0.102546
6.117552  0.088439
6.137544  0.067289
6.157536  0.040786
6.177528  0.010798
6.197520  -0.020030
6.217512  -0.047569
6.237504  -0.066918
6.257496  -0.074509
6.277488  -0.069824
6.297480  -0.055745
6.317472  -0.037578
6.337464  -0.020905
6.357456  -0.009222
6.377448  -0.002635
6.397440  0.001726
6.417432  0.007857
6.437424  0.018427
6.457416  0.032769
6.477408  0.046202
6.497400  0.051338
6.517392  0.041873
6.537384  0.017026
6.557376  -0.016777
6.577368  -0.048394
6.597360  -0.067430
6.617352  -0.068818
6.637344  -0.053935
6.657336  -0.028974
6.677328  -0.002410
6.697320  0.017581
6.717312  0.025571
6.737304  0.021111
6.757296  0.009560
6.777288  0.000133
6.797280  0.001708
6.817272  0.018200
6.837264  0.045706
6.857256  0.073213
6.877248  0.086892
6.897240  0.076249
6.917232  0.039794
6.937224  -0.012901
6.957216  -0.064879
6.977208  -0.099228
6.997200  -0.106257
7.017192  -0.086634
7.037184  -0.049355
7.057176  -0.007176
7.077168  0.027902
7.097160  0.048114
7.117152  0.051721
7.137144  0.042441
7.157136  0.026860
7.177128  0.011779
7.197120  0.002799
7.217112  0.003286
7.237104  0.012820
7.257096  0.026157
7.277088  0.034651
7.297080  0.030156
7.317072  0.009360
7.337064  -0.023697
7.357056  -0.058595
7.377048  -0.082902
7.397040  -0.087626
7.417032  -0.071275
7.437024  -0.040441
7.457016  -0.006226
7.477008  0.021265
7.497000  0.036596
7.516992  0.039339
7.536984  0.032615
7.556976  0.021455
7.576968  0.010861
7.596960  0.003888
7.616952  0.001120
7.636944  0.001476
7.656936  0.003458
7.676928  0.006273
7.696920  0.010416
7.716912  0.017377
7.736904  0.028125
7.756896  0.041421
7.776888  0.053669
7.796880  0.060217
7.816872  0.056948
7.836864  0.041783
7.856856  0.016246
7.876848  -0.013882
7.896840  -0.040134
7.916832  -0.055001
7.936824  -0.055797
7.956816  -0.046296
7.976808  -0.034642
7.996800  -0.029093
8.016792  -0.034204
8.036784  -0.049088
8.056776  -0.068090
8.076768  -0.083220
8.096760  -0.087318
8.116752  -0.076591
8.136744  -0.051336
8.156736  -0.014933
8.176728  0.027736
8.196720  0.071435
8.216712  0.110601
8.236704  0.139017
8.256696  0.150943
8.276688  0.143144
8.296680  0.115927
8.316672  0.073130
8.336664  0.021431
8.356656  -0.031047
8.376648  -0.076444
8.396640  -0.108641
8.416632  -0.123830
8.436624  -0.119892
8.456616  -0.096373
8.476608  -0.056054
