# Time   VAF(t)
0.000000  7.605186
0.019992  6.690901
0.039984  4.309973
0.059976  1.313357
0.079968  -1.410882
0.099960  -3.257044
0.119952  -4.005480
0.139944  -3.775768
0.159936  -2.905699
0.179928  -1.810041
0.199920  -0.851282
0.219912  -0.245045
0.239904  -0.022312
0.259896  -0.059408
0.279888  -0.160256
0.299880  -0.153287
0.319872  0.037195
0.339864  0.369904
0.359856  0.717018
0.379848  0.927485
0.399840  0.894713
0.419832  0.601083
0.439824  0.123228
0.459816  -0.399668
0.479808  -0.817046
0.499800  -1.016199
0.519792  -0.953723
0.539784  -0.662073
0.559776  -0.232609
0.579768  0.216861
0.599760  0.579007
0.619752  0.787543
0.639744  0.832182
0.659736  0.752993
0.679728  0.617336
0.699720  0.489816
0.719712  0.407618
0.739704  0.370257
0.759696  0.346202
0.779688  0.291502
0.799680  0.170869
0.819672  -0.027649
0.839664  -0.288000
0.859656  -0.570096
0.879648  -0.819736
0.899640  -0.982137
0.919632  -1.015926
0.939624  -0.903999
0.959616  -0.658664
0.979608  -0.319945
0.999600  0.052261
1.019592  0.390678
1.039584  0.635870
1.059576  0.750528
1.079568  0.727902
1.099560  0.591037
1.119552  0.383393
1.139544  0.155305
1.159536  -0.048426
1.179528  -0.196992
1.199520  -0.277550
1.219512  -0.294512
1.239504  -0.264596
1.259496  -0.209322
1.279488  -0.147363
1.299480  -0.089795
1.319472  -0.039943
1.339464  0.003560
1.359456  0.042989
1.379448  0.079150
1.399440  0.110972
1.419432  0.136089
1.439424  0.151709
1.459416  0.155137
1.479408  0.144190
1.499400  0.118542
1.519392  0.081507
1.539384  0.040270
1.559376  0.003705
1.579368  -0.020795
1.599360  -0.029486
1.619352  -0.023125
1.639344  -0.007105
1.659336  0.009500
1.679328  0.016356
1.699320  0.004982
1.719312  -0.028334
1.739304  -0.080346
1.759296  -0.140583
1.779288  -0.193919
1.799280  -0.225226
1.819272  -0.224348
1.839264  -0.189494
1.859256  -0.127737
1.879248  -0.052406
1.899240  0.021610
1.919232  0.082284
1.939224  0.122660
1.959216  0.140883
1.979208  0.139064
1.999200  0.121600
2.019192  0.093639
2.039184  0.060221
2.059176  0.026091
2.079168  -0.004147
2.099160  -0.025708
2.119152  -0.033442
2.139144  -0.022718
2.159136  0.008502
2.179128  0.057136
2.199120  0.113650
2.219112  0.163648
2.239104  0.192403
2.259096  0.189793
2.279088  0.152971
2.299080  0.086406
2.319072  0.000496
2.339064  -0.090128
2.359056  -0.169237
2.379048  -0.223252
2.399040  -0.245384
2.419032  -0.237030
2.439024  -0.205612
2.459016  -0.160526
2.479008  -0.109823
2.499000  -0.059248
2.518992  -0.013160
2.538984  0.024688
2.558976  0.051718
2.578968  0.067663
2.598960  0.074686
2.618952  0.076041
2.638944  0.074458
2.658936  0.071790
2.678928  0.069440
2.698920  0.068135
2.718912  0.066978
2.738904  0.063304
2.758896  0.054179
2.778888  0.038689
2.798880  0.019088
2.818872  -0.000059
2.838864  -0.014148
2.858856  -0.020464
2.878848  -0.018389
2.898840  -0.008731
2.918832  0.006489
2.938824  0.023872
2.958816  0.038761
2.978808  0.045920
2.998800  0.040865
3.018792  0.021614
3.038784  -0.009703
3.058776  -0.046534
3.078768  -0.079799
3.098760  -0.101328
3.118752  -0.106893
3.138744  -0.097305
3.158736  -0.077286
3.178728  -0.052790
3.198720  -0.028498
3.218712  -0.006816
3.238704  0.011637
3.258696  0.026663
3.278688  0.037289
3.298680  0.041735
3.318672  0.038566
3.338664  0.028086
3.358656  0.012756
3.378648  -0.003551
3.398640  -0.016491
3.418632  -0.021831
3.438624  -0.016186
3.458616  0.001601
3.478608  0.028916
3.498600  0.059309
3.518592  0.084791
3.538584  0.099064
3.558576  0.099386
3.578568  0.086427
3.598560  0.063257
3.618552  0.034440
3.638544  0.004832
3.658536  -0.021737
3.678528  -0.043179
3.698520  -0.058981
3.718512  -0.069679
3.738504  -0.076394
3.758496  -0.080162
3.778488  -0.080994
3.798480  -0.077586
3.818472  -0.068115
3.838464  -0.051608
3.858456  -0.028921
3.878448  -0.002905
3.898440  0.022174
3.918432  0.041594
3.938424  0.051000
3.958416  0.047196
3.978408  0.029554
3.998400  0.001601
4.018392  -0.028758
4.038384  -0.051500
4.058376  -0.058359
4.078368  -0.046139
4.098360  -0.017653
4.118352  0.019922
4.138344  0.057641
4.158336  0.087117
4.178328  0.102506
4.198320  0.101935
4.218312  0.087940
4.238304  0.066466
4.258296  0.044338
4.278288  0.026253
4.298280  0.013289
4.318272  0.003737
4.338264  -0.005012
4.358256  -0.015112
4.378248  -0.027625
4.398240  -0.042342
4.418232  -0.058135
4.438224  -0.073625
4.458216  -0.087695
4.478208  -0.099173
4.498200  -0.105724
4.518192  -0.103473
4.538184  -0.088541
4.558176  -0.059884
4.578168  -0.020959
4.598160  0.021397
4.618152  0.059724
4.638144  0.088062
4.658136  0.102693
4.678128  0.102045
4.698120  0.086720
4.718112  0.059867
4.738104  0.026835
4.758096  -0.006453
4.778088  -0.034715
4.798080  -0.053411
4.818072  -0.059031
4.838064  -0.049793
4.858056  -0.026219
4.878048  0.008796
4.898040  0.049884
4.918032  0.089162
4.938024  0.117434
4.958016  0.126981
4.978008  0.114401
