# distance     RDF     integral
0.030638  0.000000  0.000000
0.091913  0.000000  0.000000
0.153188  0.000000  0.000000
0.214463  0.000000  0.000000
0.275738  0.000000  0.000000
0.337012  0.000000  0.000000
0.398288  0.000000  0.000000
0.459563  0.000000  0.000000
0.520838  0.000000  0.000000
0.582113  0.000000  0.000000
0.643388  0.000000  0.000000
0.704663  0.000000  0.000000
0.765938  0.000000  0.000000
0.827213  0.000000  0.000000
0.888488  0.000000  0.000000
0.949763  0.000000  0.000000
1.011038  0.000000  0.000000
1.072313  0.000000  0.000000
1.133587  0.000000  0.000000
1.194863  0.000000  0.000000
1.256138  0.000000  0.000000
1.317413  0.000000  0.000000
1.378688  0.000000  0.000000
1.439963  0.000000  0.000000
1.501238  0.000000  0.000000
1.562512  0.000000  0.000000
1.623788  0.000000  0.000000
1.685063  0.000000  0.000000
1.746338  0.000000  0.000000
1.807613  0.000000  0.000000
1.868888  0.000000  0.000000
1.930163  0.000000  0.000000
1.991438  0.000000  0.000000
2.052713  0.000000  0.000000
2.113987  0.000764  0.000154
2.175263  0.007218  0.001698
2.236538  0.053255  0.013735
2.297813  0.187582  0.058488
2.359088  0.501369  0.184568
2.420362  1.030150  0.457253
2.481638  1.649264  0.916204
2.542912  2.212984  1.562809
2.604188  2.559282  2.347068
2.665463  2.694864  3.212191
2.726738  2.738641  4.132253
2.788013  2.520728  5.017593
2.849287  2.309990  5.864969
2.910563  2.038783  6.645370
2.971838  1.800510  7.363889
3.033113  1.546591  8.006790
3.094388  1.397847  8.611574
3.155663  1.176722  9.141049
3.216938  1.056747  9.635185
3.278212  0.940068  10.091667
3.339488  0.832694  10.511265
3.400763  0.766930  10.912037
3.462038  0.677618  11.279012
3.523313  0.668561  11.654012
3.584588  0.603372  12.004321
3.645863  0.562963  12.342438
3.707137  0.561157  12.690895
3.768413  0.552677  13.045525
3.829688  0.564009  13.419290
3.890963  0.566238  13.806636
3.952238  0.567402  14.207099
4.013513  0.583285  14.631636
4.074788  0.630053  15.104321
4.136063  0.669221  15.621605
4.197338  0.706045  16.183642
4.258612  0.746514  16.795370
4.319888  0.798511  17.468673
4.381163  0.854445  18.209722
4.442438  0.903377  19.015278
4.503712  0.956588  19.891975
4.564987  1.025647  20.857716
4.626263  1.055947  21.878858
4.687538  1.130488  23.001235
4.748813  1.160266  24.183488
4.810087  1.204554  25.442747
4.871363  1.256912  26.790432
4.932638  1.274448  28.191512
4.993913  1.278561  29.632253
5.055188  1.310168  31.145062
5.116462  1.303373  32.686728
5.177738  1.293855  34.254012
5.239013  1.274468  35.834568
5.300288  1.233986  37.400926
5.361563  1.227685  38.995525
5.422837  1.188948  40.575309
5.484113  1.125280  42.104475
5.545388  1.111212  43.648457
5.606663  1.060111  45.154167
5.667937  1.013499  46.625309
5.729213  0.979450  48.077932
5.790488  0.940801  49.503241
5.851763  0.886990  50.875617
5.913038  0.874954  52.257870
5.974312  0.857769  53.641204
6.035588  0.842128  55.027315
6.096863  0.825838  56.414352
