# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.249792   0.080763   0.136896
0.499583   0.068391   -0.043441
0.749375   0.059061   -0.003505
0.999167   0.066640   0.013872
1.248958   0.065991   -0.005905
1.498750   0.063690   0.001626
1.748542   0.066803   0.002898
1.998333   0.065138   -0.004499
2.248125   0.064556   -0.000950
2.497917   0.064663   0.002168
2.747708   0.065639   -0.000613
2.997500   0.064357   0.003338
3.247292   0.067306   -0.002844
3.497083   0.062936   -0.003925
3.746875   0.065345   0.009677
3.996667   0.067770   -0.005008
4.246458   0.062843   -0.003447
4.496250   0.066048   0.005693
4.746042   0.065687   -0.003873
4.995833   0.064114   0.001331
5.245625   0.066352   0.002375
5.495417   0.065300   -0.002765
5.745208   0.064971   0.002152
5.995000   0.066375   0.001671
6.244792   0.065806   -0.002102
6.494583   0.065325   -0.000212
6.744375   0.065700   0.000180
6.994167   0.065415   0.000765
7.243958   0.066082   -0.002499
7.493750   0.064166   0.001090
7.743542   0.066627   0.001174
7.993333   0.064753   -0.005565
8.243125   0.063847   0.004557
8.492917   0.067030   0.001769
8.742708   0.064730   -0.006180
8.992500   0.063942   0.004515
9.242292   0.066986   0.004600
9.492083   0.066241   -0.005001
9.741875   0.064487   -0.000396
9.991667   0.066043   0.002769
10.241458   0.065870   -0.003513
10.491250   0.064288   0.004229
10.741042   0.067983   -0.000172
10.990833   0.064202   -0.005985
11.240625   0.064993   0.007096
11.490417   0.067747   -0.000012
11.740208   0.064987   -0.003350
11.990000   0.066073   0.001631
12.239792   0.065802   0.002042
12.489583   0.067093   -0.002824
12.739375   0.064391   -0.000139
12.989167   0.067024   0.003477
13.238958   0.066129   -0.005264
13.488750   0.064394   0.004568
13.738542   0.068411   -0.001111
13.988333   0.063839   -0.003422
14.238125   0.066701   0.003714
14.487917   0.065694   -0.002784
14.737708   0.065310   0.001243
14.987500   0.066315   0.000668
15.237292   0.065644   -0.003446
15.487083   0.064594   0.002414
15.736875   0.066851   -0.001523
15.986667   0.063833   -0.000812
16.236458   0.066445   0.001035
16.486250   0.064350   -0.004387
16.736042   0.064253   0.002580
16.985833   0.065639   0.001733
17.235625   0.065119   -0.003222
17.485417   0.064029   -0.000513
17.735208   0.064863   0.006025
17.985000   0.067039   -0.003361
18.234792   0.063184   -0.005392
18.484583   0.064345   0.005726
18.734375   0.066044   0.001029
18.984167   0.064859   -0.005159
19.233958   0.063467   0.002488
19.483750   0.066102   -0.001323
19.733542   0.062806   0.001444
19.983333   0.066823   0.003876
20.233125   0.064742   -0.006213
20.482917   0.063720   0.000348
20.732708   0.064916   0.002714
20.982500   0.065076   -0.003585
21.232292   0.063125   0.000164
21.482083   0.065158   0.004427
21.731875   0.065337   -0.001755
21.981667   0.064281   -0.000270
22.231458   0.065202   0.002615
22.481250   0.065587   -0.003405
22.731042   0.063500   -0.000902
22.980833   0.065137   0.003526
23.230625   0.065262   -0.002045
23.480417   0.064115   -0.000945
23.730208   0.064790   0.001504
23.980000   0.064867   0.001731
24.229792   0.065655   0.000955
24.479583   0.065344   -0.001596
24.729375   0.064857   -0.000295
24.979167   0.065197   0.004188
25.228958   0.066949   -0.001545
25.478750   0.064425   -0.002061
25.728542   0.065920   0.002987
25.978333   0.065917   0.000611
26.228125   0.066225   -0.002038
26.477917   0.064899   -0.002199
26.727708   0.065126   0.000885
26.977500   0.065341   0.005652
27.227292   0.067950   -0.002552
27.477083   0.064066   -0.003223
27.726875   0.066340   0.007396
27.976667   0.067761   -0.001740
28.226458   0.065471   -0.003464
28.476250   0.066030   0.002134
28.726042   0.066537   0.002316
28.975833   0.067188   -0.002610
29.225625   0.065233   -0.000015
29.475417   0.067180   0.003987
29.725208   0.067225   -0.005061
29.975000   0.064651   0.000151
30.224792   0.067300   0.004422
30.474583   0.066860   -0.002443
30.724375   0.066080   -0.001718
30.974167   0.066002   -0.000124
31.223958   0.066018   0.004784
31.473750   0.068392   -0.002959
31.723542   0.064539   -0.001603
31.973333   0.067591   0.003621
32.223125   0.066348   -0.004433
32.472917   0.065377   0.003370
32.722708   0.068032   0.000710
32.972500   0.065731   -0.002337
33.222292   0.066864   0.001615
33.472083   0.066538   -0.002550
33.721875   0.065590   -0.000497
33.971667   0.066290   0.002109
34.221458   0.066644   -0.000620
34.471250   0.065980   -0.003605
34.721042   0.064843   0.001856
34.970833   0.066908   0.001078
35.220625   0.065381   -0.001078
35.470417   0.066369   0.001483
35.720208   0.066122   -0.003708
35.970000   0.064516   -0.000150
36.219792   0.066047   0.001761
36.469583   0.065396   -0.002441
36.719375   0.064828   0.000295
36.969167   0.065543   0.005312
37.218958   0.067482   -0.001296
37.468750   0.064896   -0.003948
37.718542   0.065509   0.000717
37.968333   0.065254   -0.001439
38.218125   0.064790   0.000350
38.467917   0.065429   -0.001968
38.717708   0.063807   0.001571
38.967500   0.066214   0.002269
39.217292   0.064941   -0.004771
39.467083   0.063831   0.002513
39.716875   0.066196   0.001400
39.966667   0.064530   -0.002532
40.216458   0.064931   0.000705
40.466250   0.064882   -0.001085
40.716042   0.064389   0.001288
40.965833   0.065526   -0.000788
41.215625   0.063996   -0.001504
