# equation of state: birch 3rd order.  chisq =   0.9086D-08
# a0 =  8.0449 a.u., k0 = 1456 kbar, dk0 =  1.00 d2k0 = -0.060 emin = -152.09731
# a0 =  4.25720 Ang, k0 = 145.6 GPa,  V0 =   130.17 (a.u.)^3,  V0 =   19.29 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.            Ry           Ry            Ry        GPa           Ry
#########################################################################
  7.88700    -152.09527    -152.09514    -0.00013       8.41     -152.02518
  7.89600    -152.09541    -152.09537    -0.00004       7.97     -152.02876
  7.90400    -152.09571    -152.09557    -0.00014       7.57     -152.03219
  7.91300    -152.09575    -152.09578     0.00003       7.11     -152.03585
  7.92100    -152.09593    -152.09596     0.00003       6.70     -152.03932
  7.92900    -152.09601    -152.09612     0.00011       6.29     -152.04275
  7.93800    -152.09640    -152.09630    -0.00010       5.81     -152.04698
  7.94600    -152.09637    -152.09644     0.00007       5.39     -152.05043
  7.95500    -152.09646    -152.09659     0.00013       4.91     -152.05448
  7.96300    -152.09658    -152.09671     0.00013       4.48     -152.05817
  7.97100    -152.09671    -152.09682     0.00011       4.04     -152.06192
  7.98000    -152.09685    -152.09693     0.00009       3.55     -152.06617
  7.98800    -152.09683    -152.09702     0.00019       3.11     -152.06985
  7.99600    -152.09724    -152.09710    -0.00015       2.68     -152.07399
  8.00500    -152.09722    -152.09717    -0.00006       2.18     -152.07819
  8.01300    -152.09727    -152.09722    -0.00005       1.74     -152.08201
  8.02200    -152.09718    -152.09726     0.00008       1.25     -152.08620
  8.03000    -152.09730    -152.09729    -0.00001       0.81     -152.09013
  8.03800    -152.09736    -152.09731    -0.00005       0.38     -152.09402
  8.04700    -152.09745    -152.09731    -0.00015      -0.11     -152.09844
  8.05500    -152.09730    -152.09730     0.00000      -0.54     -152.10213
  8.06300    -152.09746    -152.09728    -0.00018      -0.98     -152.10615
  8.07100    -152.09732    -152.09725    -0.00007      -1.40     -152.10986
  8.07900    -152.09733    -152.09721    -0.00012      -1.83     -152.11372
  8.08700    -152.09710    -152.09715     0.00006      -2.25     -152.11734
  8.09500    -152.09715    -152.09709    -0.00007      -2.67     -152.12124
  8.10300    -152.09705    -152.09701    -0.00004      -3.09     -152.12497
  8.11100    -152.09684    -152.09692     0.00008      -3.50     -152.12858
  8.11900    -152.09676    -152.09682     0.00006      -3.91     -152.13231
  8.12700    -152.09657    -152.09671     0.00014      -4.31     -152.13590
  8.13500    -152.09660    -152.09659    -0.00001      -4.71     -152.13969
  8.14300    -152.09644    -152.09646     0.00002      -5.11     -152.14329
  8.15100    -152.09636    -152.09631    -0.00005      -5.49     -152.14693
  8.15900    -152.09608    -152.09616     0.00007      -5.88     -152.15035
  8.16700    -152.09600    -152.09599    -0.00001      -6.26     -152.15394
